grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,large_threshold,p_large_week,p_large_4w,expected_large_size,last_large_week,customer,channel
sku_customer,sku_customer::2018558|Ringson Limited,2018558,교체형,lumpy,51093.0,sba,{'alpha': 0.05},0.008718072720380849,0.05021006013300846,2.0,11,6,0.013652508966809382,23716.0,1.004336277728142e-07,4.017344504836373e-07,24500.0,2025-03-10,Ringson Limited,
sku_customer,sku_customer::1008924|Skyrich View (HK) Limited,1008924,교체형,intermittent,50744.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",9.240523019476829e-12,4.869781630634003e-11,2.0,11,6,,23479.2,5.87151690864872e-13,2.348787830896981e-12,25440.0,2024-02-26,Skyrich View (HK) Limited,
sku_customer,sku_customer::2019729|EACHAIN HONGKONG LIMITED,2019729,교체형,intermittent,50600.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.37469282703511636,1.8972118781127791,0.26297128300180334,11,6,-0.5967574704723019,13040.0,0.008796093022208,0.03472286084672449,14600.0,2026-03-02,EACHAIN HONGKONG LIMITED,
sku_customer,sku_customer::1008354|PATRIOT MEMORY INC.,1008354,교체형,smooth,50144.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",4.8813745772202926e-11,3.483261666725945e-10,2.0,11,6,,28095.4,4.697249953794622e-13,1.878941446875615e-12,30111.0,2024-02-19,PATRIOT MEMORY INC.,
sku_customer,sku_customer::2018703|PATRIOT MEMORY INC.,2018703,교체형,intermittent,50000.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",6.085873058496251e-06,3.751278628281098e-05,2.0,11,6,,31000.0,4.113761393995874e-08,1.6455044582475153e-07,35000.0,2025-02-10,PATRIOT MEMORY INC.,
sku_customer,"sku_customer::2018332|XINRONGDA CO., Limited",2018332,교체형,intermittent,49885.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.4357750702376326e-06,5.3069377118298865e-06,2.0,11,6,,8848.0,1.4007545132816329e-09,5.603018049527009e-09,12930.5,2024-10-21,"XINRONGDA CO., Limited",
sku_customer,sku_customer::2016908|Patriot Memory Inc.,2016908,교체형,intermittent,49284.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",6.334644535026371e-10,4.247407340787233e-09,2.0,11,6,,33667.200000000004,5.0457150024486245e-14,2.0161650127192843e-13,39684.0,2023-12-11,Patriot Memory Inc.,
sku_customer,"sku_customer::2018627|MING SHUN ELECTRONIC CO.,LIMITED",2018627,교체형,intermittent,48640.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0002925226586995364,0.0016871497895960723,2.0,11,6,,26144.0,8.71122859318147e-06,3.484445906221101e-05,27360.0,2025-07-28,"MING SHUN ELECTRONIC CO.,LIMITED",
sku_customer,sku_customer::2017773|UNISPLENDOUR DIGITAL（HONG KONG）,2017773,교체형,intermittent,48000.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",3.9452399434658094e-10,1.1674814234273367e-09,2.0,11,6,,5000.0,4.244807010972242e-11,1.6979218031565324e-10,7000.0,2024-07-01,UNISPLENDOUR DIGITAL（HONG KONG）,
sku_customer,sku_customer::2016908|GoldKey Technology Corporation,2016908,교체형,intermittent,48000.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",6.468119304651166e-08,3.775044976881512e-07,2.0,11,6,,26880.0,9.946465727730995e-11,3.978586349262514e-10,28800.0,2024-08-05,GoldKey Technology Corporation,
